"filename", "language", "YAML", "Dart", "Kotlin", "comment", "blank", "total"
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\android\app\src\main\kotlin\com\example\sist_hub\MainActivity.kt", "Kotlin", 0, 0, 4, 0, 3, 7
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\android\app\src\main\kotlin\com\example\sist_hub_app\MainActivity.kt", "Kotlin", 0, 0, 4, 0, 3, 7
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\data\model\post.dart", "Dart", 0, 4, 0, 0, 1, 5
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\data\repository\posts_repository.dart", "Dart", 0, 4, 0, 0, 0, 4
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\add_post_page\bloc\add_post_state.dart", "Dart", 0, 0, 0, 0, 1, 1
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\auth\bloc\auth_bloc.dart", "Dart", 0, 1, 0, 0, 0, 1
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\bus_page\find_bus_screen.dart", "Dart", 0, 120, 0, 7, 6, 133
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\chats_page\all_chats_page.dart", "Dart", 0, 75, 0, 0, 6, 81
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\chats_page\bloc\chats_bloc.dart", "Dart", 0, 10, 0, 1, 3, 14
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\chats_page\bloc\chats_event.dart", "Dart", 0, 6, 0, 0, 3, 9
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\chats_page\bloc\chats_state.dart", "Dart", 0, 7, 0, 0, 4, 11
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\chats_page\chats_page.dart", "Dart", 0, 13, 0, 0, 3, 16
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\create_new_post_page\bloc\select_post_image_bloc.dart", "Dart", 0, 62, 0, 1, 11, 74
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\create_new_post_page\bloc\select_post_image_event.dart", "Dart", 0, 27, 0, 0, 10, 37
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\create_new_post_page\bloc\select_post_image_state.dart", "Dart", 0, 22, 0, 0, 12, 34
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\create_new_post_page\create_post_page.dart", "Dart", 0, 132, 0, 2, 7, 141
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\create_new_post_page\select_post_image.dart", "Dart", 0, 199, 0, 10, 11, 220
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\home_page\home_screen.dart", "Dart", 0, 11, 0, 0, 0, 11
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\home_page\widgets\post_widget.dart", "Dart", 0, 24, 0, -2, 1, 23
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\main_page\main_screen.dart", "Dart", 0, 14, 0, 4, 0, 18
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\profile_page\profile_page.dart", "Dart", 0, -24, 0, 0, 0, -24
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\search_page\search_result_screen.dart", "Dart", 0, 1, 0, 0, 0, 1
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\search_page\search_screen.dart", "Dart", 0, 0, 0, 0, -1, -1
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\search_page\search_widgets.dart", "Dart", 0, -33, 0, 0, -1, -34
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\select_post_image_page\bloc\select_post_image_bloc.dart", "Dart", 0, -25, 0, -1, -6, -32
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\select_post_image_page\bloc\select_post_image_event.dart", "Dart", 0, -13, 0, 0, -5, -18
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\select_post_image_page\bloc\select_post_image_state.dart", "Dart", 0, -15, 0, 0, -8, -23
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\select_post_image_page\select_post_image.dart", "Dart", 0, -196, 0, -6, -11, -213
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\main.dart", "Dart", 0, 33, 0, 0, 0, 33
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\styles\styles.dart", "Dart", 0, 6, 0, 0, 0, 6
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\utils\constants.dart", "Dart", 0, -1, 0, 0, 0, -1
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\widgets\commonWidget.dart", "Dart", 0, 66, 0, 0, 4, 70
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\pubspec.yaml", "YAML", 0, 0, 0, 1, -2, -1
"Total", "-", 0, 530, 8, 17, 55, 610
