"filename", "language", "YAML", "Dart", "XML", "comment", "blank", "total"
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 1, -1, 2, 2
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\flutter_launcher_icons.yaml", "YAML", 7, 0, 0, 0, 1, 8
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\data\repository\chats_repository.dart", "Dart", 0, 37, 0, 0, 6, 43
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\data\repository\user_repository.dart", "Dart", 0, 0, 0, 1, 0, 1
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\chats_page\all_chats_page.dart", "Dart", 0, -75, 0, 0, -6, -81
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\chats_page\bloc\chat_bloc.dart", "Dart", 0, 52, 0, 1, 10, 63
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\chats_page\bloc\chat_event.dart", "Dart", 0, 22, 0, 0, 9, 31
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\chats_page\bloc\chat_state.dart", "Dart", 0, 19, 0, 0, 7, 26
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\chats_page\bloc\chats_bloc.dart", "Dart", 0, -10, 0, -1, -3, -14
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\chats_page\bloc\chats_event.dart", "Dart", 0, -6, 0, 0, -3, -9
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\chats_page\bloc\chats_state.dart", "Dart", 0, -7, 0, 0, -4, -11
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\chats_page\chats_page.dart", "Dart", 0, 155, 0, 3, 4, 162
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\chats_users_page\bloc\chat_users_bloc.dart", "Dart", 0, 21, 0, 0, 9, 30
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\chats_users_page\bloc\chat_users_event.dart", "Dart", 0, 7, 0, 0, 6, 13
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\chats_users_page\bloc\chat_users_state.dart", "Dart", 0, 11, 0, 0, 6, 17
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\chats_users_page\chat_users_page.dart", "Dart", 0, 95, 0, 4, 8, 107
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\create_new_post_page\bloc\select_post_image_bloc.dart", "Dart", 0, -1, 0, 0, 0, -1
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\create_new_post_page\select_post_image.dart", "Dart", 0, -1, 0, 0, 0, -1
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\home_page\home_screen.dart", "Dart", 0, 0, 0, 1, 0, 1
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\login_page\login_screen.dart", "Dart", 0, -1, 0, 2, 0, 1
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\main.dart", "Dart", 0, 4, 0, 0, 0, 4
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\utils\chatSocket.dart", "Dart", 0, 33, 0, 0, 8, 41
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\utils\constants.dart", "Dart", 0, 1, 0, 5, 1, 7
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\pubspec.yaml", "YAML", 2, 0, 0, 0, 0, 2
"Total", "-", 9, 356, 1, 15, 61, 442
